variant,file,mean_brightness_orig,mean_brightness_enh,mean_brightness_balance,contrast_orig,contrast_enh,entropy_orig,entropy_enh,edge_strength_orig,edge_strength_enh,laplacian_var_orig,laplacian_var_enh,over_exposure_orig,over_exposure_enh,noise_est_orig,noise_est_enh,edge_keep_ratio,ssim_to_original,Q_score
w/o Retinex,D:\A题代码_公式包\clear text\cam156_17-02_07-24 - .jpeg,0.38921287655830383,0.3761090934276581,0.6838347153230147,0.16696330922788385,0.18234462965338638,7.175168037414551,7.34183931350708,0.28618642687797546,0.4030907452106476,3199.394287872407,5737.302633079213,0.012670717592592593,0.011244212962962963,0.10374715924263,0.15768271684646606,1.4084900732981842,0.9229993821757145,0.5181519416428184
w/o Retinex,D:\A题代码_公式包\clear text\cam163_02-02_10-11.jpeg,0.4537525177001953,0.4438677728176117,0.8070323142138394,0.21466981119126405,0.22509354716041377,7.474682807922363,7.656553268432617,0.4546569585800171,0.5962251424789429,4773.709633144417,8076.864418720931,0.030729166666666665,0.011111111111111112,0.1527114361524582,0.2175729125738144,1.3113736671553207,0.9277455581773284,0.6425283005542056
w/o Retinex,D:\A题代码_公式包\clear text\cam16_17-02_07-12 - .jpeg,0.5214969515800476,0.4821608066558838,0.8766560121016068,0.19128926270793972,0.19580519421631085,7.296845436096191,7.478008270263672,0.3337969183921814,0.4731411635875702,2610.9924743914976,4406.911948598507,0.03925189393939394,0.011541193181818182,0.09748320281505585,0.1467309147119522,1.4174520676746487,0.923846200648836,0.5497493318016051
w/o Retinex,D:\A题代码_公式包\clear text\cam16_17-02_09-32 - .jpeg,0.5121505260467529,0.4727393090724945,0.8595260164954445,0.184891357390776,0.19023727819197886,7.1986236572265625,7.407257556915283,0.30717891454696655,0.44851770997047424,2400.3252544349743,4140.998255469573,0.018341619318181818,0.00702829071969697,0.09073063731193542,0.14023257791996002,1.4601188804738623,0.9186168926284709,0.5398597140232135
w/o Retinex,D:\A题代码_公式包\clear text\cam16_17-02_09-54 - .jpeg,0.5195394158363342,0.48048895597457886,0.8736162835901433,0.191569556476055,0.19745426478523992,7.229541778564453,7.461664199829102,0.33107441663742065,0.47745612263679504,2571.813939088545,4433.871144584037,0.04040601325757576,0.007936789772727272,0.09767834097146988,0.14924243092536926,1.442141465380292,0.9198690537027266,0.5560643797188094
w/o Retinex,D:\A题代码_公式包\clear text\cam172_02-02_23-05.jpeg,0.303230345249176,0.27383241057395935,0.49787711013447156,0.14421556929375962,0.15335553644304106,6.593408107757568,6.641490459442139,0.13552939891815186,0.1755087673664093,1463.1462593047002,1663.0331195113197,0.005699573863636363,0.006992779356060606,0.03225869685411453,0.04343132674694061,1.2949866088221944,0.9508290762592163,0.2960919977709672
w/o Retinex,D:\A题代码_公式包\clear text\cam174_02-02_09-49.jpeg,0.3685796856880188,0.36939045786857605,0.6716190143065018,0.21444844507711122,0.22739115607284655,7.289556503295898,7.37612771987915,0.3065880239009857,0.4008757174015045,4852.41622331043,6139.697128420743,0.011103219696969696,0.013778409090909091,0.09486547857522964,0.12885373830795288,1.3075386822666324,0.9403843755053972,0.5302740047519464
w/o Retinex,D:\A题代码_公式包\clear text\cam174_03-02_10-20.jpeg,0.38589370250701904,0.35561349987983704,0.6465699997815219,0.1710570666819964,0.18728292102861346,6.943169593811035,7.057406902313232,0.29496532678604126,0.39325448870658875,4591.012440419262,5706.36464458357,0.011055871212121211,0.014074337121212121,0.08838708698749542,0.12027020752429962,1.3332227714476872,0.9318901663411348,0.4946073731567782
w/o Retinex,D:\A题代码_公式包\clear text\cam174_03-02_11-43.jpeg,0.38417521119117737,0.35488495230674744,0.6452453678304498,0.1736500583676745,0.1909082315934725,6.905926704406738,7.059779167175293,0.30560460686683655,0.4044000804424286,4737.675499697879,5973.119578968255,0.010759943181818181,0.013991477272727273,0.09287196397781372,0.12630288302898407,1.3232786712553821,0.9348676320042367,0.5026827744277388
w/o Retinex,D:\A题代码_公式包\clear text\cam178_02-02_19-37.jpeg,0.3009842038154602,0.29044145345687866,0.5280753699215975,0.1888092288084913,0.1919670719269852,6.951822757720947,6.988612174987793,0.26904359459877014,0.35031458735466003,4393.992903622154,5156.508589409722,0.015293560606060606,0.016051136363636365,0.0792446956038475,0.10577011108398438,1.3020737314120983,0.9333289814757023,0.44537136909873887
w/o Retinex,D:\A题代码_公式包\clear text\cam178_02-02_22-47.jpeg,0.2949715256690979,0.28054937720298767,0.5100897767327048,0.1823850460281181,0.1847755464972879,6.936999320983887,6.9581708908081055,0.23200128972530365,0.29155999422073364,4237.0311577237,4884.987900484223,0.01631155303030303,0.01689157196969697,0.06923611462116241,0.08895396441221237,1.2567171926408218,0.9467813849409277,0.4112187614646405
w/o Retinex,D:\A题代码_公式包\clear text\cam180_02-02_09-53.jpeg,0.5271103382110596,0.48838678002357483,0.8879759636792269,0.23106485668317708,0.2294394179951195,7.105423927307129,7.234787464141846,0.25584617257118225,0.30483943223953247,1809.5451121703763,2230.9593363208523,0.11027166193181819,0.013165838068181819,0.05349463224411011,0.06827107816934586,1.1914949400899681,0.9734053201393155,0.43343696934272596
w/o Retinex,D:\A题代码_公式包\clear text\cam180_02-02_23-00.jpeg,0.32709214091300964,0.3107036352157593,0.5649157003922896,0.19513119617066604,0.20002610354875766,7.053857803344727,7.144824028015137,0.1996372789144516,0.24464626610279083,1497.2933043506628,1770.5852263598533,0.027965198863636364,0.007211766098484848,0.04130283743143082,0.054399799555540085,1.225453812737367,0.9568441116823585,0.3438463349326072
w/o Retinex,D:\A题代码_公式包\clear text\cam180_03-02_09-01.jpeg,0.5312613844871521,0.49438560009002686,0.8988829092545942,0.23428719155188468,0.23182462412670723,7.429990768432617,7.455933570861816,0.2657163441181183,0.3158291280269623,1949.021088991472,2453.9569562410716,0.020978338068181817,0.010484730113636364,0.05881229415535927,0.07583050429821014,1.1885950812807329,0.9706716533221421,0.4479113228054356
w/o Retinex,D:\A题代码_公式包\clear text\cam180_03-02_10-31.jpeg,0.5230116844177246,0.4851873219013214,0.8821587670933115,0.2283987192100329,0.22785947489077937,7.403241157531738,7.451559066772461,0.2583339810371399,0.3145594894886017,1883.7184565668917,2399.409099614368,0.0699899384469697,0.0103515625,0.05617697164416313,0.07304468005895615,1.2176465274327428,0.968255044080592,0.4479944272616737
w/o Retinex,D:\A题代码_公式包\clear text\cam180_17-02_07-15.jpeg,0.43628180027008057,0.4178379476070404,0.759705359285528,0.19030905554744892,0.20359810585107188,7.207810401916504,7.341790676116943,0.2548212707042694,0.325997918844223,1870.4819195446998,2497.9322407367713,0.00791607481060606,0.007877604166666666,0.05716150254011154,0.07744481414556503,1.279319918802233,0.9601876556856563,0.43105572507085543
w/o Retinex,D:\A题代码_公式包\clear text\cam181_17-02_08-14.jpeg,0.5189782381057739,0.47882282733917236,0.8705869587984951,0.22625086604886982,0.22323269138415344,7.127389430999756,7.195547580718994,0.1694244146347046,0.2204476296901703,1761.491578103338,2122.5461794751714,0.09261067708333333,0.013029711174242424,0.04160260409116745,0.055927738547325134,1.3011562614730379,0.9590795732235862,0.4262035216371298
w/o Retinex,D:\A题代码_公式包\clear text\cam187_17-02_19-15.jpeg,0.3265188932418823,0.325855553150177,0.5924646420912308,0.21037328680019104,0.20278939481892982,7.1766228675842285,7.1459150314331055,0.196961909532547,0.2393624633550644,1902.739156182861,2347.984337336292,0.03290719696969697,0.012248461174242425,0.04800891503691673,0.06326059252023697,1.215272858848733,0.9568269051713261,0.35853339329290185
w/o Retinex,D:\A题代码_公式包\clear text\cam18_02-02_09-56 - .jpeg,0.4011119604110718,0.4049959182739258,0.7363562150435013,0.2757359916361135,0.2669344164661473,7.404263019561768,7.624095916748047,0.30716419219970703,0.4043821096420288,3104.6452149291404,4919.498678077302,0.08609375,0.009916087962962963,0.10063394904136658,0.14215244352817535,1.316501531832933,0.9480856424833551,0.5360215088380362
w/o Retinex,D:\A题代码_公式包\clear text\cam18_02-02_22-31 - .jpeg,0.24622124433517456,0.26512178778648376,0.48203961415724317,0.16670036316234285,0.18590022591470737,6.522079944610596,6.877278804779053,0.2621346712112427,0.3434198498725891,2688.8106180166737,4050.541590135781,0.01988136574074074,0.01781828703703704,0.08234545588493347,0.11651447415351868,1.3100894249916766,0.9406420470125012,0.40385540009903975
w/o Retinex,D:\A题代码_公式包\clear text\cam18_03-02_03-08.jpeg,0.2878369688987732,0.3012404441833496,0.547709898515181,0.15184147780597765,0.17341765535787732,6.688593864440918,7.029086589813232,0.2554536461830139,0.3488483130931854,2461.488052654996,3780.6987459291063,0.019539930555555557,0.019270833333333334,0.07903289794921875,0.11573498696088791,1.3656032435247154,0.9306164493944079,0.41898243305505445
w/o Retinex,D:\A题代码_公式包\clear text\cam190_31-01_00-14.jpeg,0.3550992012023926,0.3498872220516205,0.6361585855484009,0.18807154407989152,0.19131225868132287,7.141602993011475,7.2220964431762695,0.18009787797927856,0.2215406447649002,1327.6102322630097,1526.0994188485963,0.021549479166666666,0.006803385416666667,0.03556590899825096,0.04767957702279091,1.2301124715839054,0.9566390119532365,0.3444586857954812
w/o Retinex,D:\A题代码_公式包\clear text\cam195_30-01_19-39.jpeg,0.3143550157546997,0.32705074548721313,0.5946377190676602,0.25411623528503674,0.25012870170033136,7.529986381530762,7.593385696411133,0.32909077405929565,0.3818419575691223,1870.3928576067372,2326.477515491235,0.041178385416666664,0.01133996212121212,0.06834065169095993,0.08583851903676987,1.1602937418216528,0.9587479934797213,0.41062554822317104
w/o Retinex,D:\A题代码_公式包\clear text\cam197_02-02_22-00.jpeg,0.31029653549194336,0.320381760597229,0.5825122919949618,0.17865397872362127,0.19271794598083755,7.126138687133789,7.291723251342773,0.28226909041404724,0.37882527709007263,2636.51371433396,4076.726535503171,0.018880208333333332,0.01648726851851852,0.08560316264629364,0.12382255494594574,1.3420715148137434,0.9332039151894096,0.4486328554751622
w/o Retinex,D:\A题代码_公式包\clear text\cam204_02-02_09-57.jpeg,0.4257877469062805,0.40874966979026794,0.7431812178004871,0.20717410674942752,0.21200593992719569,7.178328514099121,7.364839553833008,0.3610683083534241,0.4625367820262909,4034.321044557163,6153.128859563078,0.036278935185185185,0.011027199074074075,0.11912862211465836,0.1644420325756073,1.28102290365787,0.9387412471859898,0.5406294629871877
w/o Retinex,D:\A题代码_公式包\clear text\cam204_02-02_21-05.jpeg,0.26526734232902527,0.27632659673690796,0.5024119940671053,0.18534726480973499,0.19464040210909211,6.853494167327881,7.011180400848389,0.22271335124969482,0.29292792081832886,2276.2940834101923,2989.915289016954,0.028489583333333332,0.021843171296296298,0.06401500105857849,0.08961546421051025,1.3152687491389679,0.9398788069970824,0.380104297389063
w/o Retinex,D:\A题代码_公式包\clear text\cam204_02-02_23-56.jpeg,0.29014813899993896,0.30059385299682617,0.5465342781760476,0.1927312642311601,0.2013225913805979,7.029225826263428,7.167934894561768,0.24639052152633667,0.32348543405532837,2385.3649703569745,3168.2048389062948,0.031689814814814816,0.02298900462962963,0.07051670551300049,0.09889434278011322,1.3128972353916402,0.9339092105195155,0.40366143388227715
w/o Retinex,D:\A题代码_公式包\clear text\cam208_02-02_23-43.jpeg,0.2645230293273926,0.27535009384155273,0.5006365342573686,0.18412944294389857,0.19437990537443176,6.854110240936279,7.06496524810791,0.25712135434150696,0.3441786766052246,2526.4917126608766,3677.682565710968,0.02572337962962963,0.014641203703703703,0.07683345675468445,0.11087191849946976,1.338584524299907,0.9307720422112277,0.4122088796897418
w/o Retinex,D:\A题代码_公式包\clear text\cam20_02-02_09-48 - .jpeg,0.433753103017807,0.42849016189575195,0.7790730216286399,0.24604119226784882,0.25030388551950333,7.623144149780273,7.69985294342041,0.4295238256454468,0.5552762150764465,3595.1952484886096,5487.407642938624,0.009824810606060606,0.01124230587121212,0.12228293716907501,0.16796137392520905,1.2927716099514013,0.9450559419906488,0.5813820273107179
w/o Retinex,D:\A题代码_公式包\clear text\cam20_02-02_20-27 - .jpeg,0.3118704557418823,0.32331305742263794,0.5878419225866144,0.2097366545430236,0.21393767073897504,7.316989421844482,7.438477993011475,0.2274230420589447,0.2945787310600281,1925.6879524061414,2491.0501680959487,0.02996863162878788,0.013668915719696969,0.05418739467859268,0.07453175634145737,1.2952897697507855,0.9434552035654882,0.40074001560685757
w/o Retinex,D:\A题代码_公式包\clear text\cam20_03-02_09-37 - .jpeg,0.42841875553131104,0.4252011477947235,0.7730929959904063,0.2442927569216675,0.2465429053185562,7.590270519256592,7.717543601989746,0.45308756828308105,0.5874013900756836,3804.178465180402,5801.975058311133,0.03676313920454546,0.010620857007575757,0.12975367903709412,0.17844411730766296,1.2964411822757556,0.9363098688630604,0.5932201561033162
